Feature,Importance (Abs Coef)
headphone_form_factor_other,0.2773482366444111
brand_name_xintu,0.2588711580242929
waterproof_standard,0.20925381958352238
brand_name_langsdom,0.20586686983257008
private_mold,0.18262184095401718
brand_name_wedtserha,0.17648393013327043
chipset_Other,0.15953494610649854
brand_name_yss,0.1447738074358486
brand_name_oem_odm,0.13194224901295154
game_atmosphere_light_Single Color,0.1293304283696892
brand_name_ldnio,0.12863627684312437
battery_indicator_Other,0.11996586355228275
material_plastic,0.10154772468008692
charging_interface_type_No_Specific,0.10068819256993296
brand_name_ld,0.07888091747882213
volume_control,0.041838997490871534
headphone_form_factor_semi_in_ear,0.028007173320623014
brand_name_xintu.1,0.021791458821746677
control_method_other,0.0
headphone_form_factor_in_ear,0.0
