product_id,battery_capacity_mah_,headphone_form_factor,waterproof_standard,brand_name,volume_control,battery_charging_time,battery_indicator,charging_interface_type,chipset,codecs,control_method,game_atmosphere_light,material,private_mold,sound_quality,wireless_delay_time,product_name,charging_time
1601199546235,230mAh,,IPX-3,Kimmar,,,LED,,Jieli,,,,ABS,No,,30 Ms,,
11000019926045,200-500mah,In ear,IPX-2,,,,LED,,Bluetrum,,,Single Color,,,,30 Ms,New Hot YW14 TWS Real Anc ENC Earbuds Cheap Wireless Earphones,1 hour
1601392028168,,In ear,IPX-5,,Yes,1-3 hours,LED,,JL,,,RGB,Plastic,Yes,,41-50 ms,G07,1-2 Hours
11000018724361,400,,IPX-5,customized,,,LED,,JL 6973D4,,,,ABS,Yes,,41-50 ms,,
11000018676506,400,,IPX-5,customized,,,LED,,JL 6973D4,,,,ABS,Yes,,41-50 ms,,
11000018674327,40/400mah,In ear,IPX-5,,,,LED,,JL,,,,ABS,,,41-50 ms,,
11000018667496,400,,IPX-5,customized,,,LED,,JL 6973D4,,,,ABS,Yes,,41-50 ms,,
11000017398054,400mah,,IPX-4,Shareez,,1-3 hours,LED,Type-C,JL,AAC,Touch Control,No Light,ABS,Yes,"High Fidelity (Hi-Fi), Bass Boost, Surround Sound, Stereo",above 60 ms,ANC TWS Earbuds,
11000016529320,300MAH,,IPX-5,OEM,,,Digital Display,,"JL6983, BT5.3",,,,ABS,No,,,,
11000015936991,480MAH,In ear,IPX-5,OEM,,,Digital Display,,"JL7003D8,  BT5.3",,,,ABS,Yes,,,TWS Earbuds,
11000013875232,200-500mah,In ear,IPX-5,,Yes,1-3 hours,Digital Display,Type-C,,"AAC, Sbc",Touch Control,,Plastic,Yes,"High Fidelity (Hi-Fi), Bass Boost, Surround Sound, Stereo",31-40 ms,J5 ENC TWS Bluetooth Earbuds,
11000013822157,200-500mah,In ear,IPX-5,,Yes,1-3 hours,Digital Display,Type-C,,"AAC, Sbc",Touch Control,,"Plastic, ABS",Yes,"High Fidelity (Hi-Fi), Stereo, Surround Sound, Bass Boost",31-40 ms,J8Pro ANC+ENC TWS Bluetooth Earbuds,
11000007976518,200-500mah,,IPX-1,Glorystar,,1-3 hours,LED,Type-C,JL,AAC,Touch Control,RGB,Plastic,Yes,Stereo,31-40 ms,,
11000006823092,,,IPX-5,blueear,,,LED,,Others,AAC,,NO,,Yes,,31-40 ms,,"40mins, Support to connect with 2 mobile phones"
11000006813395,,,IPX-5,blueear,,,LED,,Others,AAC,,NO,,Yes,,31-40 ms,,"40mins, Support to connect with 2 mobile phones"
11000006791953,25mah,,IPX-5,KO-STAR,,1-3 hours,,Type-C,JL,,Touch Control,,,Yes,,,,1Hours
11000003249565,,,IPX-4,,touch,,LED,,JL,,,,ABS+PC,Yes,,,,
11000002728730,200-500mah,,IPX-5,,,,LED,,JL,,,Multicolor,ABS Plastic,Private Mold,,41-50 ms,,1.5 Hours
10000038595524,200-500mah,,IPX-4,,,,,,,,,Multicolor,,,,,,
10000038312858,200-500mah,In ear,IPX-5,OEM,Yes,1-3 hours,Digital Display,Type-C,JL,,App Control,Single Color,ABS,No,High Fidelity (Hi-Fi),less than 30 ms,,
10000038277576,200-500mah,,IPX-5,OEM,,1-3 hours,Digital Display,Type-C,JL,AAC,,,ABS+SILICON,Yes,,31-40 ms,,
10000037648420,30*2+380mah,In ear,IPX-4,Guanersheng,Yes,1-3 hours,LED,Type-C,JL6983D2,LHDC,Button Control,No Light,Plastic,Yes,"Surround Sound, Stereo",less than 30 ms,YX32,1 Hour
10000037637400,200-500mah,,IPX-5,,,,LED,,,None,,No Light,,Yes,,41-50 ms,,
10000035457756,300mAh+35mAh+35mAh,,IPX-4,JH,,1-3 hours,LED,Wireless Charging,JL,,,No Light,ABS+PVC,Yes,,41-50 ms,,
10000035143062,<200mah,Ear-hook,IPX-5,Jinghang,Yes,1-3 hours,,Type-C,JL,LHDC,App Control,,"PVC, ABS",Yes,,less than 30 ms,In Ear Noise Cancelling Earphone,1-2 Hours
10000035104982,<200mah,Ear-hook,IPX-5,Jinghang,Yes,1-3 hours,,Type-C,JL,LHDC,App Control,,"PVC, ABS",Yes,,less than 30 ms,In Ear Noise Cancelling Earphone,1-2 Hours
10000033501026,300/40mah,In ear,IPX-5,XINTU,Yes,1-3 hours,LED,Type-C,Bluetrum,AAC,Touch Control,No Light,ABS,Yes,Bass Boost,31-40 ms,,1 Hour
10000031546165,30mah*2+500mAh,In ear,IPX-1,OEM,Yes,1-3 hours,LED,Type-C,AB5656,AAC,Touch Control,,Plastic,Yes,,51-60 ms,,
10000031230755,200mah,In ear,IPX-4,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000031217779,200mah,In ear,IPX-4,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000031213842,200mah,In ear,IPX-4,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000031208874,200mah,In ear,IPX-4,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000030355349,200mah,In ear,IPX-5,None,Yes,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000030349386,200mah,In ear,IPX-5,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000030336468,200mah,In ear,IPX-5,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000030313586,200mah,In ear,IPX-5,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000030308693,200mah,In ear,IPX-5,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000030307714,200mah,In ear,IPX-5,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000030306664,200mah,In ear,IPX-5,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000030271183,200mah,In ear,IPX-5,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000028801535,200-500mah,Ear-clip,No,Guanersheng,Yes,1-3 hours,LED,Type-C,JL,Sbc,Touch Control,No Light,Plastic,Yes,High Fidelity (Hi-Fi),less than 30 ms,TWS earphone,1 Hour
10000028318450,200mah,In ear,IPX-5,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000028315458,200mah,In ear,IPX-5,None,No,1-3 hours,LED,Type-C,Jl,,Button Control,,ABS,Yes,,30 Ms,,3-5 hours
10000027112132,200-500mah,In ear,IPX-4,casun,Yes,,LED,Type-C,,,,,,,,,noice cancelling headphones earbuds earphone,
10000025387672,400mAh,In ear,IPX-7,Teeline,Yes,1-3 hours,Digital Display,,JL,,,,ABS,Yes,,30 Ms,,1-2 hours
10000024869008,200mah,In ear,IPX-5,None,No,1-3 hours,LED,,Jl,,,,ABS,Yes,,30 Ms,,3-5 hours
10000024866040,200mah,In ear,IPX-5,None,No,1-3 hours,LED,,Jl,,,,ABS,Yes,,30 Ms,,3-5 hours
10000024864091,200mah,In ear,IPX-5,None,No,1-3 hours,LED,,Jl,,,,ABS,Yes,,30 Ms,,3-5 hours
1601712499060,200-500mah,In ear,IPX-4,,,1-3 hours,Digital Display,Type-C,,,,,Plastic,Yes,High Fidelity (Hi-Fi),,,
1601717658387,200-500mah,,IPX-5,zayson,,1-3 hours,Digital Display,Type-C,JL,AAC,Touch Control,Single Color,Plastic,Yes,Stereo,less than 30ms,,
1601514887658,500-1000mah,In ear,IPX-6,,Yes,1-3 hours,LED,Type-C,JL,,,,Plastic,No,"Surround Sound, High Fidelity (Hi-Fi), Stereo",less than 30 ms,,
1601051593073,200mAh,In ear,IPX-4,,Yes,1-3 hours,Digital Display,Type-C,JL,,Touch Control,,Plastic,No,"Stereo, Surround Sound, High Fidelity (Hi-Fi)",30 Ms,TWS Earbuds,
1601516681104,150,In ear,IPX-4,,No,3-5 hours,Digital Display,Type-C,JL,,Touch Control,No Light,ABS,Yes,,31-40 ms,air31  Wireless earphones,
1601414899562,180mAh,,IPX-3,Customized,,1-3 hours,LED,Type-C,Blurtrum,,Touch Control,,ABS,Yes,,31-40 ms,Sports TWS earphone,1-2 Hours
1601611764749,500-1000mah,In ear,IPX-4,LD,Yes,1-3 hours,LED,Type-C,BK,,Button Control,No Light,ABS,No,High Fidelity (Hi-Fi),31-40 ms,Mirror bluetooth earphone earbuds,
1601123168522,150MAH,,IPX-4,,,,LED,,JL,,Touch Control,,ABS,No,,41-50 ms,Wireless Gaming In-ear Earphones,
1600860510479,,,IPX-2,,,,LED,,JL,,,,ABS,,,,TWS Wireless Earbuds,1.5 Hours
1601241396818,300,,IPX-4,N/A,,1-3 hours,Digital Display,,,,,,Plastic,No,,51-60 ms,,
1601433700032,400mah,In ear,IPX-4,HRX,Yes,1-3 hours,Digital Display,Type-C,JL,LHDC,Touch Control,,Other,Yes,"Bass Boost, High Fidelity (Hi-Fi), Stereo, Studio Level",less than 30 ms,A11 Pro LCD TWS Earbuds,1 Hour
1600492240839,200mah,,IPX-6,,Yes,,LED,,,,,,,,,,,
1601650694263,200-500mah,In ear,IPX-4,LENOVO,Yes,1-3 hours,LED,Type-C,JL,AAC,Touch Control,Single Color,Plastic,Yes,"Surround Sound, Stereo, Studio Level, High Fidelity (Hi-Fi), Bass Boost",41-50 ms,,
1601238252219,400mAh,,IPX-4,OEM,,,Digital Display,,JL,,,,"ABS, ABS+PVC",No,,51-60 ms,TWS Wireless Earbuds,
1600694914079,200-500mah,,No,Hudson,,1-3 hours,LED,Type-C,JL,None,Touch Control,No Light,ABS,,,41-50 ms,TWS Earphone,1-1.5 hours
1601587145352,500-1000mah,In ear,IPX-7,,,,,,,,,,,,,,,
1601170942471,350mah,In ear,IPX-5,OEM,No,,Digital Display,Type-C,JL,,Touch Control,,PC,Yes,,30 Ms,,
1601671747144,200-500mah,In ear,IPX-6,,Yes,1-3 hours,Digital Display,"Micro USB, Type-C",JL,LHDC,"Touch Control, Button Control",RGB,Plastic,No,Stereo,31-40 ms,,
1601630541478,400mAh,In ear,IPX-5,ZTXION,,1-3 hours,Digital Display,,,,,,,,,30 Ms,Q20,
1601376673227,200mAh,In ear,IPX-4,,No,1-3 hours,LED,,JL,AAC,Touch Control,,Environmental new ABS + PP,,High Fidelity (Hi-Fi),less than 30 ms,Gaming bt headset,1Hours
1601422042865,500-1000mah,In ear,IPX-6,,No,,,,Earphone,,,,Earphone,,,30Ms,Earphone,Earphone
1601676512859,<200mah,,IPX-3,ZW,,1-3 hours,LED,Type-C,Bluetrum,AAC,Touch Control,No Light,Plastic,Yes,,less than 30ms,,
1601383307100,200mAh,In ear,IPX-4,,Yes,1-3 hours,Digital Display,Type-C,Jieli,,Touch Control,,Plastic,No,,31-40 ms,Pro6 Mini TWS Wireless Earbuds,about 45-60 miniutes
1601404032084,200-500mah,,IPX-4,SENNKA,,1-3 hours,LED,Type-C,Jl,,App Control,,Abs,Yes,,30 Ms,,
1601718519397,200mAh,In ear,IPX-5,OEM,,,LED,Type-C,OHTER,,,,other,,,,,
1601006113744,500-1000mah,,IPX-4,Ancreu,,,LED,,Actions,AAC,,Single Color,ABS,,,41-50 ms,Tws Gaming Earphone Headset,1-2 Hours
1601612700033,200,,IPX-5,None,,1-3 hours,LED,Type-c,Jl,,Bluetooth,,Abs,Yes,,30 Ms,,
10000025161457,180MAH,In ear,IPX-4,,Yes,1-3 hours,LED,,JL,,,,,No,,less than 30 ms,TWS WIRELESS Earbuds,
1601490208604,300,In ear,IPX-6,oem,Yes,1-3 hours,Digital Display,,Jl,,Touch Control,,Plastic,Yes,,31-40 ms,,
1601463792435,200-500mah,,IPX-6,juhuaxin,,1-3 hours,Digital Display,,SmartLink,SBC AAC,Touch Control,No Light,Metal,,,,TWS Wireless Earbuds,
1601250835511,400,In ear,IPX-4,Langsdom,Yes,1-3 hours,Digital Display,Type-C,Bluetrum,"AAC, APT-X","Touch Control, Voice Control",No Light,Plastic,Yes,"Stereo, Surround Sound, Bass Boost",41-50 ms,v8 headphones,1 Hours
1601354800133,,In ear,IPX-4,RXT,Yes,1-3 hours,Digital Display,,JL,,,No Light,ABS,Yes,,41-50 ms,,1h
1601561620997,200-500mah,,IPX-5,Oem,,1-3 hours,Digital Display,Type-C,Others,Apt-X HD,Touch Control,No Light,Plastic,Yes,Stereo,less than 30ms,S20 Wireless Earphone,1 Hours
1601615839376,200-500mah,In ear,IPX-6,One Two,Yes,1-3 hours,LED,Type-C,Others,None,Touch control,Single Color,Abs,Yes,Stereo,30 Ms,,
1600499470335,200-500mah,,IPX-7,,,,Digital Display,,,,,,,Yes,,,,1.5 Hours
